25;JULIO 2024;EB 55-0002;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;27.9042;0;0;0;0;0
26;AGOSTO 2024;EB 55-0002;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;27.9042;0;0;0;0;0
27;SEPTIEMBRE 2024;EB 55-0002;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;27.9042;0;0;0;0;0
28;OCTUBRE 2024;EB 55-0002;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;27.9042;0;0;0;0;0
29;NOVIEMBRE 2024;EB 55-0002;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;27.9042;0;0;0;0;0
30;DICIEMBRE 2024;EB 55-0002;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;27.9042;0;0;0;0;0
31;ENERO 2025;EB 55-0002;COMPRESORA DE AIRE;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;OPERABLE;9/1/2023;55;27.9042;0;0;0;0;0
32;ENERO 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
33;FEBRERO 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
34;MARZO 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
35;ABRIL 2024;EB 43-0041;CARGADOR FRONTAL;EBC;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;OPERABLE;9/1/2023;55;33.8042;0;0;0;0;0
