26;ENERO 2024;EB 52-0004;VIBROCOMPACTADORA DE RODILLO LISO MANUAL;PROCESO LEGAL;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;SE DESCONOCE ;;0;0;0;0;0;0;0
27;ENERO 2024;EB 52-0008;VIBROCOMPACTADORA DE RODILLO LISO MANUAL;PROCESO LEGAL;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;SE DESCONOCE ;;15;1654.16;0;0;0;0;0
28;ENERO 2024;EB 52-0012;VIBROCOMPACTADORA DE RODILLO LISO MANUAL;PROCESO LEGAL;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;SE DESCONOCE ;;6;0;0;0;0;0;0
29;ENERO 2024;EB 52-0013;VIBROCOMPACTADORA DE RODILLO LISO MANUAL;PROCESO LEGAL;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;SE DESCONOCE;;9;5464.02;0;0;0;0;0
30;ENERO 2024;EB 44-0002;VIBROCOMPACTADORA ;PROCESO LEGAL;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;INGERSOLL RAND;SE DESCONOCE;;6;4824.69;0;0;0;0;0
31;ENERO 2024;EB 51-0002;COMPACTADORA DE NEUMATICOS;PROCESO LEGAL;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;SE DESCONOCE;;30;0;0;0;0;0;0
32;ENERO 2024;EB 41-0110;TRACTOR;PROCESO LEGAL;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;KOMATSU;SE DESCONOCE;;12;0;0;0;0;0;0
33;ENERO 2024;EB 41-0102;TRACTOR;PROCESO LEGAL;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;KOMATSU;SE DESCONOCE;;1;6797.91;0;0;0;0;0
34;ENERO 2024;EB 41-0103;TRACTOR;PROCESO LEGAL;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;KOMATSU;SE DESCONOCE;;20;5306.16;0;0;0;0;0
35;ENERO 2024;EB 41-0107;TRACTOR;PROCESO LEGAL;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;KOMATSU;SE DESCONOCE;;0;0;0;0;0;0;0
36;ENERO 2024;EB 41-0115;TRACTOR;PROCESO LEGAL;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;CATERPILLAR;SE DESCONOCE;;14;0;0;0;0;0;0
37;ENERO 2024;EB 41-0086;TRACTOR ;CUSTODIA;HRS. 64 EQUIPOS (ExECE-ExICE);MAQUINARIA;CATERPILLAR;NO OPERABLE ;;0;9005.65;0;0;0;0;0
38;ENERO 2024;EB 41-0090;TRACTOR ;CUSTODIA;HRS. 64 EQUIPOS (ExECE-ExICE);MAQUINARIA;CATERPILLAR;NO OPERABLE ;;0;17124.03;0;0;0;0;0
39;ENERO 2024;EB 52-0009;VIBROCOMPACTADORA DE RODILLO LISO MANUAL;CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;NO OPERABLE ;;14;7298.15;146299.94;0;0;0;0
40;ENERO 2024;EB 43-0032;CARGADOR FRONTAL;CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;NO OPERABLE ;;20;0;1136638.18;1136638.18;0;0;0
41;ENERO 2024;EB 43-0039;CARGADOR FRONTAL;CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;NO OPERABLE ;;14;5190.42;0;0;0;0;0
42;ENERO 2024;EB 43-0037;CARGADOR FRONTAL;CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;NO OPERABLE ;;11;0;0;0;0;0;0
43;ENERO 2024;EB 71-0018;GENERADOR (400KW);CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;BAIFA;NO OPERABLE ;;9;15551.09;0;0;0;0;0
44;ENERO 2024;EB 71-0009;GENERADOR (300 KW);CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;BAIFA;NO OPERABLE ;;0;5903.22;0;0;0;0;0
45;ENERO 2024;EB 71-0010;GENERADOR (300 KW);CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;BAIFA;NO OPERABLE ;;5;0;0;0;0;0;0
46;ENERO 2024;EB 71-0012;GENERADOR (300 KW);CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;BAIFA;NO OPERABLE ;;8;2304.61;0;0;0;0;0
47;ENERO 2024;EB 57-0003;BOMBA DE REMOLQUE (HORMIGON);CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;NO OPERABLE ;;23;10057.66;0;0;0;0;0
48;ENERO 2024;EB 58-0001;PERFORADORA DE PILOTES;CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;NO OPERABLE ;;16;2207.46;0;0;0;0;0
49;ENERO 2024;EB 50-0001;RETROEXCAVADORA;CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;NO OPERABLE ;;0;2892.27;0;673119.4;0;0;0
50;ENERO 2024;EB 50-0003;RETROEXCAVADORA;CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;NO OPERABLE ;;16;0;673119.4;673119.4;0;0;0
51;ENERO 2024;EB 50-0004;RETROEXCAVADORA;CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;NO OPERABLE ;;9;11543.21;673119.4;673119.4;0;0;0
52;ENERO 2024;SIN PLACA TORRE ILUMINACION;TORRE DE ILUMINACION;CUSTODIA;LINEA RECTA  VSIAF (ExECE-ExICE);EQUIPO MOTORIZADO;WACKER NEWSON;NO OPERABLE ;;6;0;0;0;0;0;0
53;ENERO 2024;EB 46-0021;RETROEXCAVADORA;CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;CATERPILLAR;NO OPERABLE ;;19;0;0;0;0;0;0
54;ENERO 2024;EB 46-0017;RETROEXCAVADORA;CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;JCB;NO OPERABLE ;;23;2505.1;0;0;0;0;0
55;ENERO 2024;EB 51-0005;COMPACTADORA DE NEUMATICOS;CUSTODIA;HRS. TRAB.  ExECE-ExCIE;MAQUINARIA;XCMG;NO OPERABLE ;;22;16142.46;0;0;0;0;0
56;ENERO 2024;2982GUX;CISTERNA  (COMBUSTIBLE);CUSTODIA;HRS. TRAB.  ExECE-ExCIE;AUTOMOTOR;BEIBEN TRUCK;NO OPERABLE ;;5;2574.96;0;0;30;1246;0
